Path,Account,AccessType,Rights
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\チャレンジタッチ\2020年チャレンジタッチ領収書_Y012012272652408 - コピー.pdf","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\チャレンジタッチ\2020年チャレンジタッチ領収書_Y012012272652408 - コピー.pdf","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\チャレンジタッチ\2020年チャレンジタッチ領収書_Y012012272652408 - コピー.pdf","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\チャレンジタッチ\2020年チャレンジタッチ領収書_Y012012272652408 - コピー.pdf","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\チャレンジタッチ\Y012012272652408.pdf","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\チャレンジタッチ\Y012012272652408.pdf","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\チャレンジタッチ\Y012012272652408.pdf","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\チャレンジタッチ\Y012012272652408.pdf","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2022年賀\2022年賀-upload.xlsx","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2022年賀\2022年賀-upload.xlsx","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2022年賀\2022年賀-upload.xlsx","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2022年賀\2022年賀-upload.xlsx","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2022年賀\template\atena-arts.xlsx","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2022年賀\template\atena-arts.xlsx","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2022年賀\template\atena-arts.xlsx","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2022年賀\template\atena-arts.xlsx","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2023年賀\2023年賀-upload.xlsx","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2023年賀\2023年賀-upload.xlsx","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2023年賀\2023年賀-upload.xlsx","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2023年賀\2023年賀-upload.xlsx","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2023年賀\template\atena-arts.xlsx","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2023年賀\template\atena-arts.xlsx","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2023年賀\template\atena-arts.xlsx","NT AUTHORITY\Authenticated Users","Allow","(M)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\挨拶状\2023年賀\template\atena-arts.xlsx","NT AUTHORITY\SYSTEM","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\家電など取説\テルモ体温計C207取説.pdf","BUILTIN\Administrators","Allow","(F)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\家電など取説\テルモ体温計C207取説.pdf","BUILTIN\Users","Allow","(RX)"
"D:\cloud\Dropbox\Dropbox\Private\00_家族関連\家電など取説\テルモ体温計C207取説.pdf","NT AUTHORITY\Authenticated Users","Allow","(M)"
